iter	Passed	Remaining
0	0	68
1	1	61
2	1	58
3	2	55
4	2	56
5	3	56
6	4	54
7	4	53
8	5	53
9	5	52
10	6	51
11	6	50
12	7	49
13	8	49
14	8	48
15	9	47
16	10	49
17	10	49
18	11	48
19	12	48
20	12	48
21	13	47
22	13	46
23	14	45
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	42
30	18	41
31	19	41
32	19	40
33	20	39
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	26	33
44	26	32
45	27	32
46	28	31
47	28	30
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	35	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	40	17
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	53	4
93	54	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
